Question Text,2018 Text Change,2020 Text Change,2016,2017,2018,2019,2020
I am given a real opportunity to improve my skills in my organization.,,,1,1,1,1,1
I have enough information to do my job well.,,,2,2,2,2,
I feel encouraged to come up with new and better ways of doing things.,,,3,3,3,3,2
My work gives me a feeling of personal accomplishment.,,,4,4,4,4,3
I like the kind of work I do.,,,5,5,5,5,
I know what is expected of me on the job.,,,6,6,6,6,4
When needed I am willing to put in the extra effort to get a job done.,,,7,7,7,7,
I am constantly looking for ways to do my job better.,,,8,8,8,8,
"I have sufficient resources (for example, people, materials, budget) to get my job done.",,,9,9,9,9,
My workload is reasonable.,,,10,10,10,10,5
My talents are used well in the workplace.,,,11,11,11,11,6
I know how my work relates to the agency's goals and priorities.,I know how my work relates to the agency's goals.,,12,12,12,12,7
The work I do is important.,,,13,13,13,13,
"Physical conditions (for example, noise level, temperature, lighting, cleanliness in the workplace) allow employees to perform their jobs well.",,,14,14,14,14,
My performance appraisal is a fair reflection of my performance.,,,15,15,15,15,
I am held accountable for achieving results.,,,16,16,16,16,
"I can disclose a suspected violation of any law, rule or regulation without fear of reprisal.",,,17,17,17,17,8
My training needs are assessed.,,,18,18,18,18,
"In my most recent performance appraisal, I understood what I had to do to be rated at different performance levels (for example, Fully Successful, Outstanding).",,,19,19,19,19,
The people I work with cooperate to get the job done.,,,20,20,20,20,9
My work unit is able to recruit people with the right skills.,,,21,21,21,21,
Promotions in my work unit are based on merit.,,,22,22,22,22,
"In my work unit, steps are taken to deal with a poor performer who cannot or will not improve.",,,23,23,23,23,10
"In my work unit, differences in performance are recognized in a meaningful way.",,,24,24,24,24,12
Awards in my work unit depend on how well employees perform their jobs.,,,25,25,25,25,
Employees in my work unit share job knowledge with each other.,,,26,26,26,26,
The skill level in my work unit has improved in the past year.,,,27,27,27,27,
How would you rate the overall quality of work done by your work unit?,,,28,28,28,28,
The workforce has the job-relevant knowledge and skills necessary to accomplish organizational goals.,My work unit has the job-relevant knowledge and skills necessary to accomplish organizational goals.,,29,29,29,29,13
Employees have a feeling of personal empowerment with respect to work processes.,,,30,30,30,30,
Employees are recognized for providing high quality products and services.,,,31,31,31,31,14
Creativity and innovation are rewarded.,,,32,32,32,32,
Pay raises depend on how well employees perform their jobs.,,,33,33,33,33,
"Policies and programs promote diversity in the workplace (for example, recruiting minorities and women, training in awareness of diversity issues, mentoring).",,,34,34,34,34,
Employees are protected from health and safety hazards on the job.,,,35,35,35,35,15
My organization has prepared employees for potential security threats.,,,36,36,36,36,
"Arbitrary action, personal favoritism and coercion for partisan political purposes are not tolerated.",,,37,37,37,37,
"Prohibited Personnel Practices (for example, illegally discriminating for or against any employee/applicant, obstructing a person's right to compete for employment, knowingly violating veterans' preference requirements) are not tolerated.",,,38,38,38,38,
My agency is successful at accomplishing its mission.,,,39,39,39,39,16
I recommend my organization as a good place to work.,,,40,40,40,40,17
I believe the results of this survey will be used to make my agency a better place to work.,,,41,41,41,41,18
My supervisor supports my need to balance work and other life issues.,,,42,42,42,42,19
My supervisor provides me with opportunities to demonstrate my leadership skills.,,,43,43,43,43,
Discussions with my supervisor about my performance are worthwhile.,,,44,44,44,44,
My supervisor is committed to a workforce representative of all segments of society.,,,45,45,45,45,20
My supervisor provides me with constructive suggestions to improve my job performance.,,,46,46,46,46,
Supervisors in my work unit support employee development.,,,47,47,47,47,21
My supervisor listens to what I have to say.,,,48,48,48,48,22
My supervisor treats me with respect.,,,49,49,49,49,23
"In the last six months, my supervisor has talked with me about my performance.",,,50,50,50,50,
I have trust and confidence in my supervisor.,,,51,51,51,51,24
"Overall, how good a job do you feel is being done by your immediate supervisor?",,,52,52,52,52,25
"In my organization, senior leaders generate high levels of motivation and commitment in the workforce.",,,53,53,53,53,26
My organization's senior leaders maintain high standards of honesty and integrity.,,,54,54,54,54,27
Supervisors work well with employees of different backgrounds.,,,55,55,55,55,
Managers communicate the goals and priorities of the organization.,Managers communicate the goals of the organization.,,56,56,56,56,28
Managers review and evaluate the organization's progress toward meeting its goals and objectives.,,,57,57,57,57,
"Managers promote communication among different work units (for example, about projects, goals, needed resources).",,,58,58,58,58,29
Managers support collaboration across work units to accomplish work objectives.,,,59,59,59,59,
"Overall, how good a job do you feel is being done by the manager directly above your immediate supervisor?",,,60,60,60,60,30
I have a high level of respect for my organization's senior leaders.,,,61,61,61,61,31
Senior leaders demonstrate support for Work/Life programs.,,Senior leaders demonstrate support for Work-Life programs.,62,62,62,62,32
How satisfied are you with your involvement in decisions that affect your work?,,,63,63,63,63,33
How satisfied are you with the information you receive from management on what's going on in your organization?,,,64,64,64,64,34
How satisfied are you with the recognition you receive for doing a good job?,,,65,65,65,65,35
How satisfied are you with the policies and practices of your senior leaders?,,,66,66,66,66,
How satisfied are you with your opportunity to get a better job in your organization?,,,67,67,67,67,
How satisfied are you with the training you receive for your present job?,,,68,68,68,68,
"Considering everything, how satisfied are you with your job?",,,69,69,69,69,36
"Considering everything, how satisfied are you with your pay?",,,70,70,70,70,37
"Considering everything, how satisfied are you with your organization?",,,71,71,71,71,38
